Nummer,Tekst
1,Formverda er alt som er tilfelle.
1.1o,"Formverda er totaliteten av realiserte konfigurasjonar, ikkje av ting."
1.11t,"Alt som har form, har nettopp denne forma og ikkje ei anna."
1.12t,"At ein konfigurasjon tek ein eksakt form, når uendeleg mange andre var logisk moglege, krev ei forklaring utover konfigurasjonen sjølv."
1.13t,"Forklaringa ligg i relasjonen mellom den manifesterte konfigurasjonen og det totale settet av konfigurasjonar som var moglege, men ikkje vart realiserte."
1.131t,Ei form utan alternativ er ikkje ei form; ho er ein nødvendigheit.
1.2d,Eit objekt er den enklaste bestanddelen i ein konfigurasjon. Objektet er udeleleg og uforanderleg.
1.201t,Inndelinga i objekt er eit val av analysenivå. Under det valde nivået held fysikken fram; men ikkje formgjevinga.
1.203t,Objekta utgjer formverdas substans. Substansen er det som eksisterer uavhengig av kva som er tilfellet.
1.2031t,"Om formverda ikkje hadde nokon substans, ville spørsmålet om ein konfigurasjon har meining vere avhengig av om ein annan konfigurasjon er realisert."
1.204t,"Det uforanderlege, det eksisterande og objektet er eitt og det same. Objektet er det uforanderlege; konfigurasjonen er det omskiftelege, det ubestandige."
1.21d,Ein konfigurasjon er ein bestemt samanheng av objekt. Forma er konfigurasjonens struktur.
1.211i,I konfigurasjonen heng objekta saman som lenkene i ei kjede.
1.212t,Måten objekta heng saman på i konfigurasjonen er konfigurasjonens struktur.
1.213t,Forma er strukturens moglegheit.
1.214t,To konfigurasjonar med same objekt men ulik struktur er ulike former. To konfigurasjonar med ulike objekt men same struktur deler ein isomorfi.
1.22t,"Sidan objektas natur inneber moglegheita for å inngå i konfigurasjonar, er alle moglege former allereie gjevne i og med objekta."
1.221t,Moglegheita for å inngå i ein konfigurasjon er objektets form.
1.222t,Formrommet vert ikkje konstruert. Det vert oppdaga.
1.2221t,Designaren oppfinnar ikkje moglegheiter; ho avdekkjer dei.
1.223t,Å kjenne objektet er å kjenne alle dets moglege konfigurasjonar. Ei ny moglegheit kan ikkje oppstå seinare.
1.3d,"Formrommet til ein klasse er mengda av alle moglege konfigurasjonar for objekt i denne klassen.², ¹⁰, ²⁰"
1.31d,Kvart realisert objekt utgjer eitt eksakt punkt i dette n-dimensjonale rommet. Kvar akse er ein målbar eigenskap.
1.311t,"Valet av aksar er ein projeksjon. Forma eksisterer uavhengig av målinga, slik eit fjell eksisterer uavhengig av kartet."
1.32d,Det empiriske formrommet er alltid ein projeksjon. Inga endeleg mengd parametrar fangar den latente kompleksiteten fullt ut.²
1.321t,At formrommet er ein projeksjon tyder ikkje at det er vilkårleg. Somme projeksjonar fangar meir variasjon enn andre. Den beste projeksjonen er den som gjer flest seleksjonstrykk synlege.
1.4d,"Formrommet deler seg topologisk i tre regionar: dei busette, dei opne og dei forbodne."
1.41o,Dei busette regionane utgjer det historiske arkivet. Dei fungerer som ankerpunkt for all framtidig navigasjon og utgjer den induktive premissen for vidare form.
1.411t,"Tyngda til ein busett posisjon veks med okkupasjonstid. Uavhengig konvergens frå isolerte tradisjonar stadfestar at attraktoren er reell, ikkje konvensjonell."
1.412t,Totaliteten av busette posisjonar er formhistoria. Formhistoria avgjer kva som er kjent mogleg.
1.42o,"Dei opne regionane er det nærliggande moglege. Tilgjengelege, men uaktualiserte. Dei er endelige; spente ut mellom det busette og det forbodne."
1.421t,Ei open region som grensar til ei busett region er tilgjengeleg. Ei open region som berre grensar til forbodne regionar er utilgjengeleg utan materialskifte.
1.43d,"Dei forbodne regionane er utelukka av materielle, strukturelle eller energetiske vilkår. Forbodet følgjer vilkåra, ikkje regionen. Eit materialskifte kan opne ein forboden region."
1.431t,"Grensa mellom open og forboden er materiell, ikkje logisk. Bøk bøyer seg langs fiberen; granit gjer det ikkje. Materialet avgjer kva som er forbode."
1.432t,At det forbodne er materielt avgrensa tyder at formverda kan ekspandere. Kvar ny materialkunnskap forskyv grensa mellom det opne og det forbodne.
1.44d,"Dei tre regionane utgjer ein epistemisk partisjon.¹⁶, ¹⁷ Det kjende (K), det tenkelege (C \ K), og det utenkjelege. Grensene er epistemiske, ikkje ontologiske."
1.441d,C er tankerommet. Alle former som er tenkelege men ikkje avgjorte. K er kunnskapsrommet. Alle former som er kjende å verke eller svikte. Formgjeving er rørsla mellom dei.
1.442t,"Totaliteten av realiserte konfigurasjonar avgjer ikkje berre kva som er kjent mogleg, men også kva som er kjent umogleg. K rommar både suksessar og fiaskoar."
1.443t,Grensa mellom C og det utenkjelege er usynleg innanfrå. Ein kan ikkje vite kva ein ikkje kan tenkje.C-K-operatorar:• C → C (konseptekspansjon): Innanfor C – Utviding• C → K (konjektur → kunnskap): Frå C til K – Kollaps• K → C (kunnskap → konjektur): Frå K til C – Rørsle• K → K (kunnskapsutdjuping): Innanfor K – Oppløysingsauke
2,Ikkje alle posisjonar er like sannsynlege.
2.01t,"At ikkje alle posisjonar er like sannsynlege tyder at noko verkar på fordelinga. Det som verkar, er seleksjonstrykk."
2.011t,Trykket er ikkje ei kraft. Det er ei avgrensing av kvar forma ikkje kan vere.
2.1d,"Eit seleksjonstrykk endrar sannsynsfordelinga i formrommet.³ Trykket er ein gradient, inga regel."
2.101t,Forma er det som står att når trykka har utelukka alt anna.¹⁵
2.11t,"Eit trykk som inkje utelukkar, er inkje trykk. Eit trykk som utelukkar alt unnateke éin region, er determinisme. Alle observerte trykk ligg mellom desse."
2.111t,Mellom null-trykket og determinismen ligg heile rommet for design.
2.12a,Fleire seleksjonstrykk verkar samstundes.
2.121t,Med berre eitt trykk ville alle former vore identiske.
2.122t,Eit latent trykk verkar framleis; å påvise det krev variasjon i vilkåra.
2.13a,Minst to seleksjonstrykk peikar i motstridande retningar. Kvar realisert form er difor eit kompromiss.
2.131t,Omgrepet «suboptimal» føreset ein referanse. Utan eit spesifikt trykksett er det ikkje falsifiserbart.
2.14d,Ein klasse er avgrensa gjennom delt affordansestruktur.¹² Objekta i klassen tilbyr same operasjonar til same agentar.
2.141t,Affordansestrukturen er konstant innanfor klassen. Han ber null informasjon om kvifor éi form oppstod framfor ei anna.
2.142o,Stil predikerer meir formvariasjon enn materiale. Bruk er difor ikkje den drivande krafta.
2.2d,Materialaffordansen er operasjonane materialet tillèt og hindrar.¹² Signaturen er latent; han bind sannsynsfordelinga utan å tvinge geometrien.
2.201o,Stål fanst i hundreår før røyrstolen fordi operasjonen mangla. Formhistoria er systematisk langsamare enn materialhistoria.Røyret låg i sykkelfabrikken i eit halvt hundreår. Nokon måtte sjå stolen i det.
2.21t,Ein samlevariabel predikerer formvariasjon betre enn einskildtrykk. Stilperioden er ein slik samlevariabel.
2.211t,Stilen er ikkje ei forklaring; han er eit aggregat som absorberer alle samtidige trykk i éin etikett.
2.212t,"Stilen er eit symptom på underliggjande krefter, ikkje ei årsak."
3,Seleksjonstrykka spenner ut eit landskap over formrommet.
3.1d,"Tilpassingslandskapet er vektorsummen av alle verksame seleksjonstrykk.³, ⁸ Kvar posisjon held ein verdi; graden av samtidig forløysing for alle trykk."
3.11t,"Landskapet lèt seg berre lodde retrospektivt. Det yter lokal prediksjon, men ingen einskildform er garantert. I stasen er siktlinja lang; i bifurkasjonen brotnar ho."
3.12t,Tilpassingsfunksjonen har talrike lokale maksima. Ein haug er staden der kvart avsteg kostar; dalar er tilstandane formene skyr.
3.121t,Éin universell topp er eit teoretisk unntak. Empirien knuser postulatet om den eine perfekte forma.
3.2d,Stabiliteten til ein haug svarar til brattleiken på dalveggane.⁸ Bratte veggar tvingar fram kanalisering. Forma støyter vekk forstyrringar.
3.21t,Djupe kanalar frys dimensjonane; grunne rommar fluktuasjonen.
3.3d,"Ein stilart er forma si sverming kring eit felles tyngdepunkt.⁹ Stilarten er ein sverm, ikkje ein kategori; grensene er naudsynleg uskarpe. Stilperiodar er gradientar, ikkje øyar.Ingen har nokon gong sett ein stil. Ein ser stolar som liknar kvarandre."
