Nummer,Tekst
"1.11t","Kvar realisert konfigurasjon er spesifikk; ingen konfigurasjon er delvis realisert."
"1.204t","Objektet er det uforanderlege; konfigurasjonen er det ubestandige."
"1.214t","To konfigurasjonar med same objekt men ulik struktur er ulike former."
"1.2141t","To konfigurasjonar med ulike objekt men same struktur deler form."
"1.3d","Formrommet til ein klasse er mengda av alle moglege konfigurasjonar for objekt i denne klassen.2, 10, 20"
"1.32d","Det empiriske formrommet er alltid ein projeksjon. Inga endeleg mengd parametrar fangar den latente kompleksiteten fullt ut.2"
"1.44d","Dei tre regionane utgjer ein epistemisk partisjon. Det kjende (K), det tenkelege (C∖K), og det utenkjelege. Grensene er epistemiske, ikkje ontologiske.16, 17"
"1.443t","Grensa mellom C og det utenkjelege er usynleg innanfrå. Ein kan ikkje vite kva ein ikkje kan tenkje."
"1.433t","Dei topologiske regionane er ikkje identiske med dei epistemiske: eit forbode område kan vere tenkeleg (materielt avgrensa), ein open region kan vere utenkjeleg (kognitivt utilgjengeleg)."
"1.444t","Operasjonane mellom C og K spenner ut fire retningar:"
"2.1d","Eit seleksjonstrykk endrar sannsynsfordelinga i formrommet. Trykket er ein gradient, inga regel.3"
"2.101t","Forma er det som står att når trykka har utelukka alt anna.15, 77, 78"
"2.131t","Omgrepet «suboptimal» føreset ein referanse. Utan eit spesifikt trykksett er det tomt."
"2.14d","Ein klasse er avgrensa gjennom delt affordansestruktur. Objekta i klassen tilbyr same operasjonar til same agentar.12, 55, 56"
"2.142o","Stil predikerer meir formvariasjon enn materiale. Materialet er difor ikkje den drivande krafta.53"
"2.2d","Materialaffordansen er operasjonane materialet tillèt og hindrar. Signaturen er latent; han bind sannsynsfordelinga utan å tvinge geometrien.12"
"2.201o","Stål fanst i hundreår før røyrstolen fordi operasjonen mangla. Formhistoria er systematisk langsamare enn materialhistoria.54"
"3.1d","Tilpassingslandskapet er vektorsummen av alle verksame seleksjonstrykk. Kvar posisjon held ein verdi; graden av samtidig forløysing for alle trykk.3, 8, 58"
"3.121t","Éin universell topp er eit teoretisk unntak. Empirien knuser postulatet om den eine perfekte forma.58"
"3.2d","Stabiliteten til ein haug svarar til brattleiken på dalveggane. Bratte veggar tvingar fram kanalisering. Forma støyter vekk forstyrringar.8"
"3.3d","Ein stilart er forma si sverming kring eit felles tyngdepunkt. Stilarten er ein sverm, ikkje ein kategori; grensene er naudsynleg uskarpe. Stilperiodar er gradientar, ikkje øyar.9, 53"
"4.12t","Gradvise trykkforskyvingar akkumulerer seg til haugen kollapsar; diskontinuiteten ligg i topologien, ikkje i dynamikken."
"4.2o","Lange periodar med stase bryt saman i brå skifte. Radiasjon inn i ein ny region, deretter konvergens. Diskontinuiteten er signaturen til dynamikken, ikkje eit brot med han."
"4.3t","Landskapet har minne. Kvar realisert form endrar seleksjonstrykka for den neste. All formgjeving er omformgjeving; agenten arvar alltid ein posisjon. Stiavhengigheit er eit fundamentalt trekk, ingen anomali.14"
"4.4o","Formrommet ekspanderer kumulativt. Det nærliggande moglege er C∖K-grensa; mengda av former som er tenkelege men ukjende som realiserbare. Materialstraumar driv landskapsendringa.13, 59, 60, 79"
"4.5o","Når eitt trykk dominerer, kollapsar landskapet mot éin attraktor. Eit eineveldande trykk forklarer ikkje form; det er fråværet av forklaring. Diversitet speglar mangfald av aktive trykk.59"
"4.51t","Ei lære som reduserer alle seleksjonstrykk til eitt kollapsar feltet til éin dimensjon. Dette er ikkje rasjonalitet; det er systematisk blindskap.15, 78"
"5.1a","Kvar klasse har minst eitt system som navigerer landskapet via negativ tilbakekopling.62"
"5.11d","Ein agent er ein operator definert av trippelet måltilstand, avstandsmåling, justeringsmekanisme. Agens krev berre organisering; verken medvit, intensjon eller nervesystem.4, 7, 21, 82, 83, 84"
"5.111t","Definisjonen er substrat-uavhengig. Eit kvart system som oppfyller vilkåra er ein agent.88, 89"
"5.12o","Agens er stratifisert: strukturen er stabil, oppløysinga varierer."
"5.124i","Pattedyret: prediksjon, minne, planlegging. Representasjonen strekk seg over tid.64, 65"
"5.13t","Agenten responderer på gradienten i landskapet, ikkje på forma. Han oppfinn ikkje målet; han oppdagar det.63, 64"
"5.131t","Navigasjon krev berre den lokale gradienten. Lokal kompetanse produserer global manifestasjon.63"
"5.2d","Kognitiv lyskjegle er delmengda av formrommet agenten kan representere og manipulere. Alt utanfor lyskjegla manglar kausal eksistens for agenten. Lyskjegler spenner frå cellulær millisekundrespons til tiårslang konsensus.21, 85, 90"
"5.21t","Lyskjegla dikterer oppløysinga til formrommet. Innanfor ho persiperer agenten ikkje former, men affordansar: operasjonane konfigurasjonen tillèt.12, 55"
"5.211t","Utviding av lyskjegla aktualiserer latente affordansar; innsnevring deaktiverer reelle.55, 70"
"5.3d","Konfigurasjonar lukka under union, differanse og transformasjon utgjer ein formalgebra.11, 13, 18"
"5.301d","Formgrammatikken utfører diskrete overgangar i denne geometrien. Reglar fyrer på innleiring: agenten gjenkjenner ei delform inne i heilforma. Inndatageometrien er einaste premiss."
"5.312t","Agenten forløyser ein konfigurasjon som reduserer lokal gradient."
"5.4d","Substratet fungerer som ein null-ordens agent. Det vetoar konfigurasjonar og gjev resonans til andre gjennom ufravikelege avgrensingar.26, 81, 92, 93"
"5.41i","Biologisk vev navigerer via bioelektrisk polarisering; menneskeleg praksis via materiell friksjon; ein slimsopp via oscillerande samandragingar; ein språkmodell via vektoriell merksemd.22, 24, 85"
"5.5t","Navigasjonskompetanse akkumulerer seg som strukturert informasjon. Læring er den irreversible ekspansjonen av tilgjengeleg formrom.64"
"5.6d","Omhug er mengda av aksar i formrommet agenten aktivt representerer og justerer for.23, 68"
"5.62d","Kompetanse er evna til å navigere mot stabile posisjonar i landskapet. Kompetansen veks med omhugen. Intelligens er denne kompetansen; omhug er intelligensens innhald.23, 86, 91"
"5.64a","Å utvide lyskjegla er ei etisk handling. Å snevra ho er å overlevere delar av formverda til krefter ingen representerer.68"
"5.7d","Kjerne-likninga. Forma er grammatikken sin respons på gradienten i landskapet, projisert på agenten si lyskjegle:11, 17, 21"
"5.51t","Kompetanseakkumulering utvider C(A) men garanterer ikkje omhug; agenten kan kjenne fleire aksar utan å justere for dei."
"5.65d","Liv er den prosessen der eit system opprettheld og utvidar si eiga lyskjegle over tid.85, 89"
"5.72t","Reduksjon. Likninga reduserer til to grensetilfelle:11, 17"
"5.212d","Ei form er i lyskjegla dersom det finst ei handlingsregel slik at informasjonstapet mellom det agenten observerer og det agenten predikerer internt, er under ein terskel \(\varepsilon\).86"
"5.213t","Informasjonstapet er eit mål på uvissa introdusert når agentens interne modell vert brukt til å representere observasjonane."
"5.401t","Substratet har to lag: strukturparametrar (den initiale konfigurasjonen) og funksjonsparametrar (kompetansereglane som opererer på konfigurasjonen). Under støy akselererer funksjonsparametra navigasjonen i formrommet.92"
"5.621d","Kompetanse er kvantifiserbar. Søkeeffektiviteten \(K = \log_{10}(\tau_{\mathrm{blind}} / \tau_{\mathrm{agent}})\) er talet på storleiksordnar av arbeid agentens politikk sparar relativt til tilfeldig vandring. \(K = 0\) er fråvær av navigasjon; \(K > 0\) er kompetanse.86"
"5.651t","Eit system er levande i den grad det aktivt motverkar reduksjon av lyskjegla."
"5.652t","Død er den irreversible kollapsen av lyskjegla til det tomme."
